Format,1.0B,
Memory Length,10000,Memory Length,10000,
IntpDistance,0,IntpDistance,0,
Trigger Address,4999,Trigger Address,4999,
Trigger Level,-4.000E-02,Trigger Level,-4.000E-02,
Source,CH2,Source,Math,
Vertical Units,V,Vertical Units,V,
Vertical Units Div,0,Vertical Units Div,0,
Vertical Units Extend Div,16,Vertical Units Extend Div,16,
Label, ,Label, ,
Probe Type,0,Probe Type,0,
Probe Ratio,1.000E+00,Probe Ratio,1.000E+00,
Vertical Scale,1.000E+00,Vertical Scale,5.000E+00,
Vertical Position,4.000E-02,Vertical Position,0.000E+00,
Horizontal Units,S,Horizontal Units,S,
Horizontal Scale,2.000E-04,Horizontal Scale,5.000E-04,
Horizontal Position,0.000E+00,Horizontal Position,0.000E+00,
Horizontal Mode,Main,Horizontal Mode,Main,
SincET Mode,Real Time,SincET Mode,Real Time,
Sampling Period,2.000E-07,Sampling Period,5.000E-07,
Horizontal Old Scale,2.000E-04,Horizontal Old Scale,5.000E-04,
Horizontal Old Position,0.000E+00,Horizontal Old Position,0.000E+00,
Firmware,V1.23,Firmware,V1.23,
Mode,Detail,Mode,Detail,
Waveform Data,,Waveform Data,,
-1.000000e-03,0.440000,-2.500000e-03,-25.599999,
-9.998000e-04,0.440000,-2.499500e-03,-25.599999,
-9.996000e-04,0.440000,-2.499000e-03,-25.599999,
-9.994000e-04,0.440000,-2.498500e-03,-25.599999,
-9.992000e-04,0.440000,-2.498000e-03,-25.599999,
-9.990000e-04,0.480000,-2.497500e-03,-25.599999,
-9.988000e-04,0.480000,-2.497000e-03,-25.599999,
-9.986000e-04,0.440000,-2.496500e-03,-25.599999,
-9.984000e-04,0.480000,-2.496000e-03,-25.599999,
-9.982000e-04,0.440000,-2.495500e-03,-25.599999,
-9.980000e-04,0.440000,-2.495000e-03,-25.599999,
-9.978000e-04,0.480000,-2.494500e-03,-25.599999,
-9.976000e-04,0.480000,-2.494000e-03,-25.599999,
-9.974000e-04,0.480000,-2.493500e-03,-25.599999,
-9.972000e-04,0.480000,-2.493000e-03,-25.599999,
-9.970000e-04,0.480000,-2.492500e-03,-25.599999,
-9.968000e-04,0.480000,-2.492000e-03,-25.599999,
-9.966000e-04,0.480000,-2.491500e-03,-25.599999,
-9.964000e-04,0.480000,-2.491000e-03,-25.599999,
-9.962000e-04,0.480000,-2.490500e-03,-25.599999,
-9.960000e-04,0.480000,-2.490000e-03,-25.599999,
-9.958000e-04,0.480000,-2.489500e-03,-25.599999,
-9.956000e-04,0.440000,-2.489000e-03,-25.599999,
-9.954000e-04,0.440000,-2.488500e-03,-25.599999,
-9.952000e-04,0.440000,-2.488000e-03,-25.599999,
-9.950000e-04,0.440000,-2.487500e-03,-25.599999,
-9.948000e-04,0.440000,-2.487000e-03,-25.599999,
-9.946000e-04,0.440000,-2.486500e-03,-25.599999,
-9.944000e-04,0.440000,-2.486000e-03,-25.599999,
-9.942000e-04,0.440000,-2.485500e-03,-25.599999,
-9.940000e-04,0.440000,-2.485000e-03,-25.599999,
-9.938000e-04,0.440000,-2.484500e-03,-25.599999,
-9.936000e-04,0.440000,-2.484000e-03,-25.599999,
-9.934000e-04,0.440000,-2.483500e-03,-25.599999,
-9.932000e-04,0.440000,-2.483000e-03,-25.599999,
-9.930000e-04,0.440000,-2.482500e-03,-25.599999,
-9.928000e-04,0.440000,-2.482000e-03,-25.599999,
-9.926000e-04,0.440000,-2.481500e-03,-25.599999,
-9.924000e-04,0.440000,-2.481000e-03,-25.599999,
-9.922000e-04,0.440000,-2.480500e-03,-25.599999,
-9.920000e-04,0.440000,-2.480000e-03,-25.599999,
-9.918000e-04,0.440000,-2.479500e-03,-25.599999,
-9.916000e-04,0.440000,-2.479000e-03,-25.599999,
-9.914000e-04,0.440000,-2.478500e-03,-25.599999,
-9.912000e-04,0.440000,-2.478000e-03,-25.599999,
-9.910000e-04,0.400000,-2.477500e-03,-25.599999,
-9.908000e-04,0.440000,-2.477000e-03,-25.599999,
-9.906000e-04,0.440000,-2.476500e-03,-25.599999,
-9.904000e-04,0.400000,-2.476000e-03,-25.599999,
-9.902000e-04,0.400000,-2.475500e-03,-25.599999,
-9.900000e-04,0.400000,-2.475000e-03,-25.599999,
-9.898000e-04,0.400000,-2.474500e-03,-25.599999,
-9.896000e-04,0.400000,-2.474000e-03,-25.599999,
-9.894000e-04,0.400000,-2.473500e-03,-25.599999,
-9.892000e-04,0.400000,-2.473000e-03,-25.599999,
-9.890000e-04,0.400000,-2.472500e-03,-25.599999,
-9.888000e-04,0.400000,-2.472000e-03,-25.599999,
-9.886000e-04,0.400000,-2.471500e-03,-25.599999,
-9.884000e-04,0.400000,-2.471000e-03,-25.599999,
-9.882000e-04,0.400000,-2.470500e-03,-25.599999,
-9.880000e-04,0.400000,-2.470000e-03,-25.599999,
-9.878000e-04,0.400000,-2.469500e-03,-25.599999,
-9.876000e-04,0.400000,-2.469000e-03,-25.599999,
-9.874000e-04,0.400000,-2.468500e-03,-25.599999,
-9.872000e-04,0.400000,-2.468000e-03,-25.599999,
-9.870000e-04,0.400000,-2.467500e-03,-25.599999,
-9.868000e-04,0.400000,-2.467000e-03,-25.599999,
-9.866000e-04,0.400000,-2.466500e-03,-25.599999,
-9.864000e-04,0.400000,-2.466000e-03,-25.599999,
-9.862000e-04,0.400000,-2.465500e-03,-25.599999,
-9.860000e-04,0.360000,-2.465000e-03,-25.599999,
-9.858000e-04,0.360000,-2.464500e-03,-25.599999,
-9.856000e-04,0.400000,-2.464000e-03,-25.599999,
